Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases                          ,Population (2019),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate,County FIPS Code,Longitude,Latitude,Georeferenced Lat & Long
Perry,08/10/2020,1,0.9,135,46272,2.2,1.9,291.8,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Perry,06/20/2020,1,1.6,86,46272,2.2,3.4,185.9,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Washington,05/10/2020,0,0.6,132,206865,0,0.3,63.8,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Mifflin,08/28/2020,4,3,161,46138,8.7,6.5,349,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Montour,07/09/2020,0,0.1,77,18230,0,0.8,422.4,42093,-76.66470527,41.02801824,POINT (-76.66470527 41.02801824)
Wayne,04/26/2020,1,1.3,86,51361,1.9,2.5,167.4,42127,-75.3051535,41.64969805,POINT (-75.3051535 41.64969805)
Warren,03/27/2021,1,2.7,2267,39191,2.6,6.9,5784.5,42123,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
Lebanon,04/19/2020,20,30.3,518,141793,14.1,21.4,365.3,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Erie,03/04/2020,0,,0,269728,0,,0,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Wyoming,04/15/2020,1,1.3,15,26794,3.7,4.8,56,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Lancaster,03/01/2020,0,,0,545724,0,,0,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Bradford,09/29/2020,2,6,192,60323,3.3,9.9,318.3,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Montour,11/04/2020,2,2.3,319,18230,11,12.5,1749.9,42093,-76.66470527,41.02801824,POINT (-76.66470527 41.02801824)
Wayne,07/24/2020,1,0.7,153,51361,1.9,1.4,297.9,42127,-75.3051535,41.64969805,POINT (-75.3051535 41.64969805)
Adams,07/12/2020,4,7.3,406,103009,3.9,7.1,394.1,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Warren,06/19/2020,0,0,5,39191,0,0,12.8,42123,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
Beaver,03/19/2020,1,0.6,4,163929,0.6,0.3,2.4,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Clearfield,01/07/2021,99,74.4,4695,79255,124.9,93.9,5923.9,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Butler,01/28/2021,80,77.1,12680,187853,42.6,41.1,6750,42019,-79.91711779,40.91083185,POINT (-79.91711779 40.91083185)
Adams,09/22/2020,6,7.6,826,103009,5.8,7.4,801.9,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Lehigh,11/15/2020,90,153,8780,369318,24.4,41.4,2377.4,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Lycoming,02/02/2021,55,44.3,8295,113299,48.5,39.1,7321.3,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
McKean,03/14/2020,0,0,0,40625,0,0,0,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
Mifflin,08/05/2020,2,2.3,118,46138,4.3,5,255.8,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Cumberland,06/29/2020,5,7.4,864,253370,2,2.9,341,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Somerset,07/25/2020,1,1.9,110,73447,1.4,2.5,149.8,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
Somerset,06/22/2020,0,1,50,73447,0,1.4,68.1,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
Sullivan,09/09/2020,0,0,10,6066,0,0,164.9,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Cameron,03/26/2020,0,0,0,4447,0,0,0,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
Wayne,04/30/2020,2,2.1,95,51361,3.9,4.2,185,42127,-75.3051535,41.64969805,POINT (-75.3051535 41.64969805)
Blair,07/20/2020,8,6.1,149,121829,6.6,5,122.3,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Somerset,03/08/2020,0,0,0,73447,0,0,0,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
Lancaster,03/09/2020,0,0,0,545724,0,0,0,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Northumberland,09/04/2020,23,13.9,777,90843,25.3,15.3,855.3,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Bedford,02/03/2021,6,11.4,3668,47888,12.5,23.9,7659.5,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Mifflin,06/27/2020,0,0.1,65,46138,0,0.3,140.9,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Elk,03/21/2021,10,9,2434,29910,33.4,30.1,8137.7,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Crawford,06/22/2020,1,1.3,48,84629,1.2,1.5,56.7,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Mercer,03/07/2021,11,23,8280,109424,10.1,21,7566.9,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Schuylkill,04/16/2020,10,11.4,253,141359,7.1,8.1,179,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Perry,11/01/2020,0,3.6,393,46272,0,7.7,849.3,42099,-77.25907385,40.40415317,POINT (-77.25907385 40.40415317)
Franklin,04/20/2020,17,9,134,155027,11,5.8,86.4,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Westmoreland,03/04/2020,0,,0,348899,0,,0,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Lycoming,06/21/2020,0,0.1,176,113299,0,0.1,155.3,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Sullivan,07/01/2020,1,0.4,6,6066,16.5,7.1,98.9,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Washington,07/27/2020,15,14.3,706,206865,7.3,6.9,341.3,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Elk,04/11/2020,0,0.4,3,29910,0,1.4,10,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Northumberland,07/29/2020,2,3.7,410,90843,2.2,4.1,451.3,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Lawrence,04/01/2020,4,2.4,20,85512,4.7,2.8,23.4,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Cumberland,05/14/2020,14,10.7,506,253370,5.5,4.2,199.7,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Bedford,04/14/2020,4,0.9,9,47888,8.4,1.8,18.8,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
York,03/22/2020,0,1.3,9,449058,0,0.3,2,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Bradford,10/03/2020,13,11,246,60323,21.6,18.2,407.8,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Fulton,11/17/2020,12,7.3,183,14530,82.6,50.1,1259.5,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Jefferson,05/30/2020,0,0.3,10,43425,0,0.7,23,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Monroe,03/01/2020,0,,0,170271,0,,0,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Pike,07/15/2020,1,0.6,511,55809,1.8,1,915.6,42103,-75.03270924,41.332572,POINT (-75.03270924 41.332572)
Northumberland,04/06/2020,6,2.7,23,90843,6.6,3,25.3,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Northumberland,03/02/2020,0,,0,90843,0,,0,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Warren,05/15/2020,0,0.1,2,39191,0,0.4,5.1,42123,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
Juniata,12/10/2020,19,23.1,979,24763,76.7,93.5,3953.5,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Cambria,07/27/2020,10,7.4,242,130192,7.7,5.7,185.9,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Huntingdon,02/20/2021,9,10,4127,45144,19.9,22.2,9141.9,42061,-77.9827661,40.416105,POINT (-77.9827661 40.416105)
Crawford,04/21/2020,2,0.3,22,84629,2.4,0.3,26,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Clinton,07/16/2020,0,1,103,38632,0,2.6,266.6,42035,-77.6428376,41.23286274,POINT (-77.6428376 41.23286274)
Mercer,03/03/2020,0,,0,109424,0,,0,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Mifflin,03/30/2020,0,0.1,1,46138,0,0.3,2.2,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Juniata,03/07/2020,0,,0,24763,0,,0,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
